EigenVal1	EigenVal2	EigenVal3	EigenVec1X	EigenVec1Y	EigenVec1Z	EigenVec2X	EigenVec2Y	EigenVec2Z	EigenVec3X	EigenVec3Y	EigenVec3Z	Volume3d (mm^3) 	Shape_VA3d	Length3d (mm) 	index
0.0167249	0.00432265	0.001999	0.758164	-0.357607	0.545256	-0.0266792	0.818488	0.573903	0.651518	0.44966	-0.611008	0.00953892	4.65166	0.679308	8278
0.0166863	0.00611914	0.000667432	0.786746	0.584579	0.198237	-0.604323	0.66399	0.440353	0.125794	-0.466245	0.875666	0.00835241	5.80584	0.614989	17534
0.0166113	0.00542882	0.000823256	0.291516	-0.00115463	0.956565	0.752417	-0.617209	-0.230046	0.590666	0.786798	-0.179058	0.00576082	6.25416	0.606171	17686
0.016561	0.00193575	0.000710801	-0.0199435	0.999751	0.00996614	0.454723	0.00019264	0.890633	0.89041	0.0222942	-0.454613	0.00232618	5.06126	0.468198	26166
0.0165253	0.00381388	0.00162365	0.583298	0.665206	-0.466117	0.801189	-0.565605	0.195419	0.133645	0.487435	0.862871	0.00354392	12.2256	0.578803	24530
0.0164931	0.00460886	0.00292926	0.91833	0.0129285	-0.395604	-0.242334	0.808616	-0.536111	0.312961	0.588195	0.745709	0.0167048	2.82556	0.580609	20708
0.016421	0.00961978	0.00402064	0.97603	0.117737	-0.18304	-0.0996729	0.989468	0.104965	0.19347	-0.0842054	0.977486	0.0164862	5.87358	0.6879	3791
0.0163384	0.00823849	0.00171652	0.922829	-0.337096	0.186422	-0.306725	-0.350256	0.885009	0.233037	0.873892	0.426622	0.0141601	5.25246	0.634426	20594
0.0162981	0.00469308	0.002149	0.0229297	0.823267	0.567192	0.731091	-0.400777	0.552163	0.681895	0.402008	-0.611072	0.0133795	3.68768	0.598584	10933
0.0162574	0.0149315	0.000264298	0.808391	0.523372	-0.269417	-0.58493	0.662875	-0.467389	-0.0660281	0.535424	0.841999	0.00635407	15.847	0.618513	21653
0.0162465	0.0108169	0.00854898	-0.125622	0.9394	-0.318977	0.672038	0.317095	0.66919	0.729784	-0.130299	-0.671147	0.0307244	5.78754	0.802414	17195
0.016236	0.00652792	0.00133776	0.508892	-0.421403	0.750632	-0.213086	0.783183	0.584139	0.83404	0.457213	-0.30876	0.0125833	4.62271	0.652639	11732
0.0160897	0.00448122	0.00122994	-0.245348	0.524318	0.815411	0.958876	0.255054	0.124512	-0.14269	0.812428	-0.565333	0.00563592	7.35934	0.505017	29928
0.0160848	0.00495942	0.00154682	-0.379747	0.0315863	0.924551	0.924556	0.0469136	0.378147	-0.0314297	0.998399	-0.0470186	0.0106318	4.85407	0.624353	1768
0.016059	0.00479384	0.00350905	0.883615	-0.231878	-0.406764	0.172739	-0.646027	0.743512	0.435185	0.727242	0.530785	0.0150499	3.79789	0.573512	20834
0.015997	0.00227176	0.00125818	0.796047	0.579901	0.173278	-0.500449	0.469658	0.727305	-0.340383	0.665685	-0.664081	0.00501144	4.38245	0.482362	17414
