EigenVal1	EigenVal2	EigenVal3	EigenVec1X	EigenVec1Y	EigenVec1Z	EigenVec2X	EigenVec2Y	EigenVec2Z	EigenVec3X	EigenVec3Y	EigenVec3Z	Volume3d (mm^3) 	Shape_VA3d	Length3d (mm) 	index
0.00320627	0.00101808	0.000601808	0.827654	0.14084	-0.543281	0.561223	-0.215167	0.799207	0.00433577	0.966368	0.257126	0.00118651	3.20475	0.278441	1888
0.00319742	0.000848582	0.000407156	0.516101	-0.415126	0.749206	0.563311	-0.494415	-0.661993	0.645229	0.763691	-0.0213235	0.00118651	1.95476	0.279071	1893
0.00319439	0.00195118	0.000883832	-0.37491	0.886923	-0.269835	0.190548	0.358573	0.913848	0.907267	0.291194	-0.303433	0.00259159	1.96485	0.275428	1187
0.00319333	0.00168547	0.00079835	0.584969	0.564422	-0.582442	0.722435	-0.0361982	0.690491	-0.368645	0.824692	0.428933	0.00207639	2.96487	0.273888	1365
0.00318841	0.000752342	0.000351616	0.088347	0.800727	0.592479	0.61549	-0.51155	0.599574	0.783177	0.311694	-0.538033	0.00110845	1.91857	0.251508	1980
0.00318492	0.00151074	0.000869501	-0.677826	0.732252	0.0660217	0.674121	0.654826	-0.341708	0.293449	0.187112	0.937484	0.00243547	1.88751	0.266856	1231
0.00316873	0.00118242	0.000555812	0.311125	0.914844	0.257412	0.855951	-0.152043	-0.494198	0.412976	-0.374089	0.830366	0.00138947	2.50445	0.270062	1727
0.00316415	0.00171587	0.000238547	0.896188	0.374822	-0.237394	-0.402927	0.911568	-0.0818125	0.185736	0.168972	0.967962	0.00134263	2.90309	0.254184	1763
0.00314986	0.00145695	0.000536224	0.7912	-0.219293	0.570889	-0.611552	-0.279481	0.740199	0.00276803	0.934773	0.355235	0.00120212	3.42149	0.27747	1875
0.00313926	0.000733227	0.00037618	-0.346793	-0.00498458	0.937928	0.162219	0.984598	0.0652121	0.923807	-0.174765	0.340643	0.00124896	1.8521	0.261404	1836
0.00312717	0.00179424	0.00117881	0.0803245	0.96004	0.268088	-0.663283	-0.149284	0.733328	0.744046	-0.236722	0.624787	0.0019515	3.10535	0.310908	1416
0.00312656	0.00208051	0.000463684	0.760451	0.374763	-0.530346	-0.603161	0.710247	-0.362969	0.240649	0.595904	0.76615	0.00171732	2.5047	0.318217	1526
0.00312282	0.00192855	0.000903012	0.162468	0.985347	-0.0519268	0.925025	-0.170415	-0.33954	0.343414	-0.00713078	0.939157	0.00120212	4.27062	0.320488	1883
0.00311173	0.00156674	0.000825128	0.147858	0.862249	-0.484422	-0.825049	0.377632	0.420344	0.545374	0.33752	0.767233	0.00168609	2.73537	0.287367	1540
0.003105	0.00212265	0.00110598	0.529465	0.440985	-0.724706	0.846102	-0.336408	0.413451	0.0614711	0.832083	0.551235	0.0033878	1.9827	0.284685	1031
0.00310494	0.0019378	0.000361329	0.283645	0.181166	0.94166	-0.0316057	0.983224	-0.179643	0.958408	-0.0211929	-0.284612	0.00160803	2.26104	0.274813	1585
0.00309787	0.00133303	0.000789166	-0.448906	0.11153	0.886592	0.887087	0.175002	0.427142	-0.107516	0.978231	-0.177496	0.00210762	2.15342	0.287058	1345
0.00309337	0.00115783	0.000320441	0.79748	-0.127821	0.58965	0.316187	0.920891	-0.228006	-0.513859	0.36827	0.774807	0.00112406	2.4063	0.276422	1961
0.00309324	0.00105382	0.000473788	-0.0267915	0.985365	0.168338	-0.597746	-0.150768	0.787381	0.801238	-0.0795285	0.593037	0.00128018	2.12038	0.235334	1801
0.00308564	0.00200242	0.00105189	0.451206	0.89199	0.0276968	0.481402	-0.269412	0.834068	0.751442	-0.363003	-0.550966	0.00226374	3.61988	0.317097	1289
0.00308351	0.00153511	0.000464278	0.857636	0.513573	0.0265387	-0.488996	0.830395	-0.26707	-0.159198	0.216072	0.963312	0.00112406	2.90295	0.261189	1956
0.00307559	0.00081	0.000638909	-0.363116	0.925219	0.110073	-0.586465	-0.318754	0.744617	0.724021	0.205828	0.658353	0.00145191	1.94205	0.278062	1678
0.00307143	0.00128663	0.00061437	0.334797	-0.0665864	0.939935	0.543733	0.82833	-0.134993	-0.769588	0.556269	0.313528	0.00167048	2.0894	0.277312	1547
0.00307071	0.00123204	0.000584094	-0.334338	0.698667	-0.632521	-0.314691	0.549864	0.773705	0.888362	0.457727	0.0360243	0.00128018	2.89493	0.254004	1808
0.0030704	0.00209677	0.000951979	-0.637396	-0.0435544	0.769305	0.735322	-0.332758	0.590401	0.230278	0.942006	0.244125	0.00237302	3.27787	0.273967	1245
