x1	y1	z1	x2	y2	z2	x3	y3	z3
-0.30721	-0.011291	0.95157	-0.86268	-0.41884	-0.28348	0.40176	-0.90799	0.11893
-0.32984	-0.070786	0.94138	-0.81803	-0.4763	-0.32244	0.4712	-0.87643	0.099198
-0.2729	-0.042849	0.96109	-0.87048	-0.41437	-0.26565	0.40962	-0.9091	0.075783
-0.2729	-0.042849	0.96109	-0.87048	-0.41437	-0.26565	0.40962	-0.9091	0.075783
-0.27694	-0.052844	0.95943	-0.89545	-0.34797	-0.27764	0.34853	-0.93601	0.049047
-0.29839	-0.070215	0.95186	-0.88912	-0.34217	-0.30396	0.34704	-0.93701	0.039669
-0.29839	-0.070215	0.95186	-0.88912	-0.34217	-0.30396	0.34704	-0.93701	0.039669
-0.29839	-0.070215	0.95186	-0.88912	-0.34217	-0.30396	0.34704	-0.93701	0.039669
-0.29996	-0.05919	0.95211	-0.89815	-0.31884	-0.30278	0.32149	-0.94596	0.042479
-0.28918	-0.045346	0.9562	-0.92184	-0.25608	-0.29093	0.25806	-0.96559	0.032252
-0.28368	-0.053048	0.95745	-0.90431	-0.31735	-0.28551	0.31899	-0.94682	0.042054
-0.27398	-0.04687	0.96059	-0.87874	-0.3937	-0.26984	0.39083	-0.91804	0.066678
-0.26794	-0.044156	0.96242	-0.88253	-0.38945	-0.26356	0.38646	-0.91999	0.065381
-0.26794	-0.044156	0.96242	-0.88253	-0.38945	-0.26356	0.38646	-0.91999	0.065381
-0.31336	-0.053993	0.9481	-0.84963	-0.43001	-0.30531	0.42418	-0.90121	0.088877
-0.42931	-0.026127	0.90278	-0.75165	-0.54384	-0.37318	0.50072	-0.83878	0.21384
-0.42931	-0.026127	0.90278	-0.75165	-0.54384	-0.37318	0.50072	-0.83878	0.21384
-0.42931	-0.026127	0.90278	-0.75165	-0.54384	-0.37318	0.50072	-0.83878	0.21384
-0.42931	-0.026127	0.90278	-0.75165	-0.54384	-0.37318	0.50072	-0.83878	0.21384
-0.29043	-0.14732	0.94549	-0.66106	-0.6835	-0.30956	0.69185	-0.71493	0.10112
-0.35691	-0.15864	0.92057	-0.75061	-0.53791	-0.38371	0.55605	-0.82794	0.072909
-0.33617	-0.14681	0.93029	-0.83213	-0.41632	-0.36639	0.44108	-0.89729	0.017788
-0.30898	-0.10487	0.94527	-0.84347	-0.42899	-0.3233	0.43942	-0.8972	0.044092
-0.31021	-0.10993	0.94429	-0.85431	-0.40352	-0.32762	0.41706	-0.90834	0.031256
-0.29453	-0.11739	0.9484	-0.85137	-0.41856	-0.3162	0.43408	-0.90057	0.023341
-0.27076	-0.076567	0.9596	-0.87372	-0.39892	-0.27836	0.40411	-0.91379	0.041114
-0.27044	-0.070405	0.96016	-0.87437	-0.39943	-0.27556	0.40292	-0.91406	0.04646
-0.29251	-0.09014	0.95201	-0.8684	-0.3918	-0.30392	0.40039	-0.91562	0.036327
-0.28005	-0.07038	0.9574	-0.87989	-0.37998	-0.28531	0.38387	-0.92231	0.044488
-0.26197	-0.064688	0.96291	-0.88897	-0.37219	-0.26686	0.37564	-0.9259	0.039995
-0.26197	-0.064688	0.96291	-0.88897	-0.37219	-0.26686	0.37564	-0.9259	0.039995
-0.26197	-0.064688	0.96291	-0.88897	-0.37219	-0.26686	0.37564	-0.9259	0.039995
-0.20366	0.0067173	0.97902	-0.91965	-0.3443	-0.18895	0.33581	-0.93883	0.0763
-0.29641	-0.084031	0.95136	-0.90432	-0.29566	-0.30787	0.30715	-0.95159	0.011646
-0.29641	-0.084031	0.95136	-0.90432	-0.29566	-0.30787	0.30715	-0.95159	0.011646
-0.25872	-0.046134	0.96485	-0.93244	-0.24891	-0.26193	0.25224	-0.96743	0.021381
-0.24019	-0.040488	0.96988	-0.93713	-0.25089	-0.24255	0.25316	-0.96717	0.022319
-0.23446	-0.053707	0.97064	-0.93346	-0.26638	-0.24022	0.27146	-0.96237	0.012321
-0.24348	-0.047829	0.96873	-0.92278	-0.29613	-0.24655	0.29867	-0.95395	0.027967
-0.31462	0.010217	0.94916	-0.9059	-0.30186	-0.29703	0.28348	-0.9533	0.10423
-0.31099	0.014199	0.95031	-0.90982	-0.29354	-0.29335	0.27479	-0.95584	0.10421
-0.30958	0.016322	0.95073	-0.89705	-0.33664	-0.28632	0.31538	-0.94149	0.11886
-0.32973	0.014246	0.94397	-0.8883	-0.34328	-0.3051	0.3197	-0.93912	0.12584
