EigenVal1	EigenVal2	EigenVal3	EigenVec1X	EigenVec1Y	EigenVec1Z	EigenVec2X	EigenVec2Y	EigenVec2Z	EigenVec3X	EigenVec3Y	EigenVec3Z	Volume3d (mm^3) 	Shape_VA3d	Length3d (mm) 	index
0.0628926	0.0425402	0.0147446	0.997842	0.00269801	-0.0656071	-0.0304168	0.904483	-0.425424	0.0581927	0.426502	0.902613	0.158805	6.26283	1.22093	4406
0.0614254	0.0470487	0.0193042	-0.155656	0.980898	-0.11666	0.282759	0.157402	0.946188	0.946477	0.114293	-0.301858	0.306276	2.52432	1.21528	3716
0.0610929	0.0481172	0.0254372	-0.503082	0.585022	0.636127	0.510374	0.795108	-0.327601	0.697443	-0.159853	0.698584	0.316533	3.34962	1.27559	6077
0.0607228	0.00965688	0.00537497	0.921756	-0.3485	-0.170039	0.331784	0.48183	0.811024	0.200712	0.803982	-0.559756	0.0657108	2.8779	0.975999	4755
0.0605513	0.0192486	0.0161613	-0.174156	0.895349	-0.409902	0.94379	0.0330068	-0.328895	0.280946	0.44414	0.85077	0.161724	2.59401	1.18206	2407
0.0602747	0.0350017	0.027594	0.979767	0.146395	0.136477	-0.0928561	-0.271578	0.957926	-0.1773	0.951217	0.25249	0.298751	3.41111	1.2181	4009
0.0595712	0.0256085	0.0100153	0.827038	-0.51438	0.226761	0.190914	0.636419	0.747344	0.528734	0.57479	-0.624546	0.145379	2.96571	1.05567	2039
0.0582387	0.0150157	0.0112345	0.124323	0.742183	-0.658565	0.806967	-0.461828	-0.368128	0.577362	0.485674	0.656334	0.0603715	7.77912	1.04502	506
0.0580313	0.0183742	0.0120848	-0.447044	0.816714	-0.36487	-0.202267	0.30504	0.930612	0.871344	0.489826	0.0288273	0.0958575	4.761	1.05223	865
0.0578319	0.0127188	0.00978344	0.957483	0.0170836	0.287984	0.139172	0.847054	-0.512963	-0.252702	0.531233	0.808662	0.0623074	5.03536	1.01318	4512
0.0578006	0.0259907	0.0140591	0.692851	-0.247082	0.677427	0.0490593	0.953437	0.297576	-0.71941	-0.172942	0.672712	0.138869	3.82106	1.12196	857
0.0570998	0.0249732	0.00976001	0.689262	-0.694029	-0.207947	0.625482	0.425166	0.654222	-0.365637	-0.580997	0.727153	0.11417	3.4988	1.07257	5128
0.0567509	0.00746215	0.00428597	0.612614	0.155691	0.774897	0.0497611	0.970865	-0.234404	0.788814	-0.182159	-0.587018	0.0241205	6.25278	0.910876	2288
0.0554829	0.0191785	0.011248	0.925655	0.29704	-0.234372	0.0788988	0.454278	0.887359	-0.370051	0.83988	-0.397069	0.113265	3.29536	1.09869	1596
0.0553898	0.0266938	0.0186972	-0.387664	0.913416	-0.124052	0.358933	0.273531	0.892383	0.849049	0.301418	-0.433893	0.205422	3.24617	1.30634	595
0.0549936	0.0187638	0.0118286	0.747182	0.429987	-0.506785	0.222679	0.556483	0.800463	-0.626206	0.710942	-0.320045	0.120119	3.26411	1.2565	5536
0.0548991	0.0171036	0.0027509	-0.216359	-0.281533	0.934841	0.311355	0.887628	0.339374	0.925336	-0.364494	0.10439	0.0248543	8.86101	1.03482	3930
0.0543559	0.0100834	0.00592052	0.771626	0.635167	0.0339994	-0.610735	0.724889	0.318651	0.177751	-0.266644	0.947262	0.056531	2.75902	0.974725	1267
0.0538795	0.0159626	0.00833105	-0.483584	0.233517	0.843574	0.755499	0.598029	0.267549	0.442005	-0.766701	0.465619	0.0802924	3.42759	1.02558	1282
0.053729	0.025472	0.0159304	0.489884	0.867269	0.088645	0.748952	-0.366635	-0.55195	0.446189	-0.336782	0.829152	0.116981	5.18802	1.09552	3002
0.0536911	0.0106391	0.00687153	0.761945	-0.600869	0.241652	0.584126	0.798737	0.144275	-0.279707	0.0312259	0.959577	0.0601842	3.31347	0.914642	2727
0.0531911	0.0448029	0.031913	0.868995	0.485626	-0.0949462	-0.46972	0.749248	-0.466894	-0.155598	0.450327	0.879201	0.332613	3.89135	1.39407	5773
